Date,PX_LOW,PX_HIGH,PX_VOLUME,PX_OPEN,PX_CLOSE_1D,BEST_PE_RATIO,CUR_MKT_CAP,BETA_ADJ_OVERRIDABLE,BEST_DIV_YLD
2/2/12,1321.57,1329.19,584573760,1324.24,1324.09,12.6294,12286468,1.06,2.2
2/3/12,1326.21,1345.34,665538816,1326.21,1325.54,12.8241,12464563,1.06,2.17
2/6/12,1337.52,1344.36,531878496,1344.32,1344.9,12.8232,12457966,1.06,2.18
2/7/12,1335.92,1349.24,535248704,1344.33,1344.33,12.8535,12481941,1.06,2.17
2/8/12,1341.95,1351,599849216,1347.04,1347.05,12.8821,12508915,1.06,2.17
2/9/12,1344.63,1354.32,608366272,1349.97,1349.96,12.8993,12527326,1.06,2.17
2/10/12,1337.35,1351.21,563434176,1351.21,1351.95,12.8176,12439750,1.06,2.18
2/13/12,1343.06,1353.35,509590656,1343.06,1342.64,12.9119,12521641,1.06,2.17
2/14/12,1340.83,1351.3,575601472,1351.3,1351.77,12.9023,12510441,1.06,2.17
2/15/12,1340.8,1355.87,620958272,1350.52,1350.5,12.8339,12443004,1.06,2.19
2/16/12,1341.22,1359.02,614220736,1342.61,1343.23,12.9766,12581352,1.06,2.16
2/17/12,1357.24,1363.4,848081088,1358.06,1358.04,13.0056,12613103,1.06,2.16
2/20/12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.0063,12613103,#N/A N/A,#N/A N/A
2/21/12,1358.11,1367.76,622612544,1361.22,1361.23,13.0148,12614035,1.06,2.16
2/22/12,1355.53,1362.7,564155072,1362.11,1362.21,12.973,12564959,1.06,2.16
2/23/12,1352.28,1364.24,568661440,1357.53,1357.66,13.0342,12618281,1.06,2.16
2/24/12,1363.46,1368.92,472132352,1363.46,1363.46,13.0588,12643499,1.06,2.15
2/27/12,1354.92,1371.94,572659904,1365.2,1365.74,13.0745,12662065,1.06,2.15
2/28/12,1365.97,1373.09,587433664,1367.56,1367.59,13.1192,12694037,1.06,2.14
2/29/12,1363.81,1378.04,839489408,1372.2,1372.18,13.0565,12632485,1.06,2.15
3/1/12,1365.9,1376.17,617241088,1365.9,1365.68,13.1884,12708383,1.06,2.13
3/2/12,1366.42,1374.53,471442528,1374.09,1374.09,13.134,12668621,1.06,2.14
3/5/12,1359.13,1369.59,529875520,1369.59,1369.63,13.0821,12621026,1.06,2.15
3/6/12,1340.03,1363.63,658464576,1363.63,1364.33,12.8833,12426474,1.06,2.18
3/7/12,1343.39,1354.85,618176448,1343.39,1343.36,12.969,12512942,1.06,2.17
3/8/12,1352.65,1368.72,531820128,1352.65,1352.63,13.0494,12629725,1.06,2.15
3/9/12,1365.97,1374.76,517301760,1365.97,1365.91,13.1513,12674644,1.06,2.14
3/12/12,1366.69,1373.04,474285664,1370.78,1370.87,13.1569,12677698,1.06,2.14
3/13/12,1371.92,1396.13,672715520,1371.92,1371.09,13.3928,12913190,1.06,2.1
3/14/12,1389.97,1399.42,678750976,1395.95,1395.95,13.3356,12906289,1.06,2.11
3/15/12,1392.78,1402.63,662750464,1394.17,1394.28,13.4131,12984932,1.06,2.1
3/16/12,1401.47,1405.88,1343399424,1402.55,1402.6,13.4311,12999205,1.06,2.09
3/19/12,1402.43,1414,545915840,1404.17,1404.17,13.5356,13047835,1.06,2.08
3/20/12,1397.68,1409.59,545028160,1409.59,1409.75,13.4866,13010555,1.06,2.09
3/21/12,1400.64,1407.75,569546496,1405.52,1405.52,13.4567,12985939,1.06,2.1
3/22/12,1388.73,1402.89,568940416,1402.89,1402.89,13.3579,12891032,1.06,2.12
3/23/12,1386.87,1399.18,570311424,1392.78,1392.78,13.4015,12930542,1.06,2.11
3/26/12,1397.11,1416.58,557252608,1397.11,1397.11,13.5842,13110360,1.06,2.08
3/27/12,1411.95,1419.15,554254656,1416.55,1416.51,13.5439,13073166,1.06,2.08
3/28/12,1397.2,1413.65,632835136,1412.52,1412.52,13.48,13007782,1.06,2.09
3/29/12,1391.56,1405.39,620743552,1405.39,1405.54,13.4582,12986326,1.06,2.1
3/30/12,1401.42,1410.89,745668928,1403.31,1403.28,13.5113,13035675,1.06,2.09
4/2/12,1404.46,1422.38,578728576,1408.47,1408.47,13.6047,13131766,1.06,2.08
4/3/12,1404.62,1419,638817536,1418.98,1419.04,13.5353,13076407,1.06,2.09
4/4/12,1394.09,1413.09,625222528,1413.09,1413.38,13.3876,12925952,1.06,2.11
4/5/12,1392.92,1401.6,586597504,1398.79,1398.96,13.3776,12919841,1.06,2.11
4/6/12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.3777,12919841,#N/A N/A,#N/A N/A
4/9/12,1378.24,1397.45,530296224,1397.45,1398.08,13.2244,12772905,1.06,2.14
4/10/12,1357.38,1383.01,722768960,1382.18,1382.2,12.9959,12559333,1.06,2.18
4/11/12,1358.98,1374.71,585359680,1358.98,1358.59,13.0888,12652384,1.06,2.16
4/12/12,1368.77,1388.13,540370496,1368.77,1368.71,13.2653,12826672,1.06,2.13
4/13/12,1369.85,1387.61,620086528,1387.61,1387.57,13.0861,12667598,1.06,2.16
4/16/12,1365.38,1379.66,587701120,1370.27,1370.26,13.0732,12662697,1.06,2.16
4/17/12,1369.57,1392.76,551976000,1369.57,1369.57,13.2656,12858425,1.06,2.13
4/18/12,1383.29,1390.78,554726976,1390.78,1390.78,13.2036,12827999,1.06,2.15
4/19/12,1370.3,1390.46,662650944,1385.08,1385.14,13.1179,12752893,1.06,2.16
4/20/12,1376.96,1387.4,869237696,1376.96,1376.92,13.1324,12769249,1.06,2.16
4/23/12,1358.79,1378.53,626911424,1378.53,1378.53,13.0232,12660500,1.06,2.18
4/24/12,1366.82,1375.57,609186048,1366.97,1366.94,13.0684,12699440,1.06,2.17
4/25/12,1372.11,1391.37,633128256,1372.11,1371.97,13.2161,12870562,1.06,2.14
4/26/12,1387.28,1402.09,589801472,1390.64,1390.69,13.3034,12958972,1.06,2.13
4/27/12,1397.31,1406.64,574515136,1400.19,1399.98,13.3365,12991267,1.06,2.13
4/30/12,1394,1403.26,607612864,1403.26,1403.36,13.2889,12939699,1.06,2.14
5/1/12,1395.73,1415.32,565814464,1397.86,1397.91,13.3239,13007538,1.06,2.13
5/2/12,1393.92,1405.5,546566336,1405.5,1405.82,13.2976,12975552,1.06,2.14
5/3/12,1388.71,1403.07,581827840,1402.32,1402.31,13.2025,12870664,1.06,2.15
5/4/12,1367.96,1391.51,585455296,1391.51,1391.57,12.9886,12662524,1.06,2.19
5/7/12,1363.94,1373.91,577344960,1368.79,1369.1,13.0046,12662521,1.06,2.19
5/8/12,1347.75,1369.16,675350016,1369.16,1369.58,12.9476,12609616,1.06,2.2
5/9/12,1343.13,1363.73,714936640,1363.2,1363.72,12.8611,12526836,1.06,2.21
5/10/12,1354.58,1365.88,648354816,1354.58,1354.58,12.8969,12553860,1.06,2.21
5/11/12,1348.89,1365.66,611435712,1358.11,1357.99,12.8612,12512078,1.06,2.21
5/14/12,1336.61,1351.93,618977216,1351.93,1353.39,12.736,12372952,1.06,2.24
5/15/12,1328.41,1344.94,655492864,1338.36,1338.35,12.6722,12303061,1.06,2.25
5/16/12,1324.79,1341.78,665584640,1330.78,1330.66,12.6187,12246075,1.06,2.26
5/17/12,1304.86,1326.36,680913344,1324.82,1324.8,12.4222,12065204,1.06,2.3
5/18/12,1291.98,1312.24,975461888,1305.05,1304.86,12.3299,11977062,1.06,2.31
5/21/12,1295.73,1316.39,623113408,1295.73,1295.22,12.5378,12170001,1.06,2.28
5/22/12,1310.04,1328.49,622996480,1316.09,1315.99,12.546,12176728,1.06,2.28
5/23/12,1296.53,1320.71,696360896,1316.02,1316.63,12.5704,12198030,1.06,2.27
5/24/12,1310.5,1324.14,614853568,1318.72,1318.86,12.5791,12214882,1.06,2.27
5/25/12,1314.23,1324.2,449879104,1320.81,1320.68,12.5644,12210397,1.06,2.28
5/28/12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.5646,12210397,#N/A N/A,#N/A N/A
